relpath	sha256	bytes	version
onboarding-v0.1.1/three-libs/three/three.module.js	e7348ab8c7bf7a41f7afc5fe503c20a0ed090d9536aacf1ee975d7aaee24d394	1280747	onboarding-v0.1.1
onboarding-v0.1.10/CHANGELOG.md	f80769bde0d7995dd7dfb9ca57f7806651354ed3cbf17f7aaad7a951eb5a52bb	6404	onboarding-v0.1.10
onboarding-v0.1.10/README.md	3548b72c010ea64034b3c372d3c8080820cacd91ec0e0c659b12ee1c307e7c66	2542	onboarding-v0.1.10
onboarding-v0.1.10/VERSION	2cbe6460f9e0e4f2add30e7d21a538b35e4fd0b504c017268062ca22480fc6e0	15	onboarding-v0.1.10
onboarding-v0.1.10/assets/chiefmonkey6.glb	36fcbb82ccae0aad13578f986ea214f6fc056b4a86c6284975ce6216924161fe	1227020	onboarding-v0.1.10
onboarding-v0.1.10/character.js	8d7eb19de7ff8e1cc7826614e808862f97224fa3579c10c9f2fd4e46df670be1	10768	onboarding-v0.1.10
onboarding-v0.1.10/deck.js	840c90630ef4a140d6c27086eafe0d4f9d93a0588a3aa26991fd00766aaef088	3631	onboarding-v0.1.10
onboarding-v0.1.10/index.html	d8adea7ce3daf4697fe9db3348c6af80f9d2aa3037f7c3eb2f7f3a7faade7d8b	15935	onboarding-v0.1.10
onboarding-v0.1.10/inspect/index.html	3f7c8e9d465195d5d4de15ce9066e25cd66889e9571400aec127a439752bf58c	10020	onboarding-v0.1.10
onboarding-v0.1.10/inspect/inspector.js	6e72217a8839fb361894c0772d309d6e778cd06213b5ab139370368fa70150e9	10700	onboarding-v0.1.10
onboarding-v0.1.10/scenes/01-approach.webp	7f08977f9f69d76be10e3b44d2889db8c92b92433afa00009bf08ca0c31a96a7	320598	onboarding-v0.1.10
onboarding-v0.1.10/scenes/02-preparation.webp	6873002c35e0c48c9625d03193d8817abf33974c45da34d2d28d650c34823cd1	204294	onboarding-v0.1.10
onboarding-v0.1.10/scenes/03-connection.webp	fd158e958d0f698ba29e131329438bbcdec922c8f248cdcc29b1385d91942656	230054	onboarding-v0.1.10
onboarding-v0.1.10/scenes/04-introduction.webp	aa9f23448e9e3a21110e7bdb86d7c0cb8935cfd86d3a6d0f3fbdb624f1692eae	269670	onboarding-v0.1.10
onboarding-v0.1.10/scenes/05-departure.webp	66d78eaa61684be7ea58ac74d98705a9634324469f398f52639dd0a47ea9d5b0	292826	onboarding-v0.1.10
onboarding-v0.1.10/shared.css	407eb6a99ad1a7c2f46d8df565e3365c066f89be8ca88cabe8ff652685d1a232	20947	onboarding-v0.1.10
onboarding-v0.1.10/three-libs/draco/draco_decoder.js	8625489da79a805f4f2a7d511c3e52d8b4085608a9d2a4d5f4f9de5db0aea04f	512465	onboarding-v0.1.10
onboarding-v0.1.10/three-libs/draco/draco_decoder.wasm	a680d927bed9cb864ddbd63521868891af2bfbe755092761b4837487618df8ac	192420	onboarding-v0.1.10
onboarding-v0.1.10/three-libs/draco/draco_wasm_wrapper.js	8bb2952d2ba7d67e1414f8df819410cb0434a666be53f671fff75f68843d76f6	58456	onboarding-v0.1.10
onboarding-v0.1.10/three-libs/three/addons/loaders/DRACOLoader.js	65c114ecb7b349cdc59c75b2c92d19cca672a138060dba0f60f64262fa40408c	13628	onboarding-v0.1.10
onboarding-v0.1.10/three-libs/three/addons/loaders/GLTFLoader.js	d073b438e6a07e1359741dd5d6c76c953420cc0d4fd84eb1bdde94315540e6a3	108522	onboarding-v0.1.10
onboarding-v0.1.10/three-libs/three/addons/utils/BufferGeometryUtils.js	b0c64fe6f3b9907262921b73fafc4ade874c07ba6b4876e164c87a830c2c2113	31554	onboarding-v0.1.10
onboarding-v0.1.10/three-libs/three/three.module.js	e7348ab8c7bf7a41f7afc5fe503c20a0ed090d9536aacf1ee975d7aaee24d394	1280747	onboarding-v0.1.10
onboarding-v0.1.11/CHANGELOG.md	6711b270f2ca13cb47f0feb1ad44ec49c7f374f916ed6ad54d150b2f0508c5ee	7434	onboarding-v0.1.11
onboarding-v0.1.11/README.md	3548b72c010ea64034b3c372d3c8080820cacd91ec0e0c659b12ee1c307e7c66	2542	onboarding-v0.1.11
onboarding-v0.1.11/VERSION	17c8df18c6bf15d84ee5c8c68d0e690c7df750599cedf6748e6adb79c58646ad	15	onboarding-v0.1.11
onboarding-v0.1.11/assets/chiefmonkey6.glb	36fcbb82ccae0aad13578f986ea214f6fc056b4a86c6284975ce6216924161fe	1227020	onboarding-v0.1.11
onboarding-v0.1.11/character.js	33484aeffd38e0937e991e44425927c05f26d1270e9761ae094a760cc442a59a	11359	onboarding-v0.1.11
onboarding-v0.1.11/deck.js	840c90630ef4a140d6c27086eafe0d4f9d93a0588a3aa26991fd00766aaef088	3631	onboarding-v0.1.11
